Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,1/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Burundi,BDI,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,188.9882709,174.1001203,210.1238066,231.3221591,249.5722602,231.4980438,236.6658708,203.0429843,173.6636028,153.0473434,155.1380322,136.0115205,139.2394506,121.6241994,119.0200207,123.4055272,130.3634079,134.3336516,158.9415475,145.1230776,119.4091014,123.7584932,118.7341843,103.4308588,84.46692141,81.33996124,89.06474126,91.72417605,86.69397342,89.02709827,96.82051564,100,100.7868692,102.6375326,100.6336192,104.3276254,117.5195199,118.8965036,129.2076478,117.9871837,114.1581634,116.3058201,116.6618173,134.2706324,135.6583389
Belgium,BEL,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,118.1714994,113.009299,105.0153327,95.78794982,94.7093176,94.11791296,95.28407799,99.23279768,102.359905,100.1232509,98.93335313,103.1713561,101.646252,102.540797,102.4619354,104.1534471,107.9716667,105.2274407,98.9338397,98.74731965,97.02308077,93.03112075,93.64590316,95.12789646,99.72189102,101.3094339,101.0548094,100.6144597,101.4176583,104.1486843,104.213624,100,100.7511027,98.47833601,100.2001974,99.95037905,94.51500176,97.40817573,98.85001021,101.2663615,99.79795998,101.2134096,101.3958668,101.0436275,102.5858665
Benin,BEN,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.84222292,45.82109919,53.91985394,46.24466155,56.7857088,65.3978588,66.9419483,69.12571155,72.52936462,75.79027822,78.9222817,82.76633068,83.05005306,86.65073211,91.65590881,99.66059516,103.8783702,100,101.4543981,100.0178099,100.8897697,100.1750029,97.07936333,97.29726321,98.55091159,101.8509601,102.3782067,105.3416068,106.7485598,112.0162372,117.9358722
Bahrain,BHR,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,174.7178228,193.4521394,216.6973211,224.677056,229.8520361,223.3956541,182.0073723,157.3442856,145.8141358,148.0322591,135.9583439,131.075898,124.3448104,130.492147,125.9776275,120.1356484,119.4532113,127.3242732,130.2186087,126.3776652,129.2227473,133.1437187,136.2377852,125.6790917,114.9283007,109.1201815,111.9878949,105.0877678,97.84040041,102.437112,100,93.13210023,95.70247719,97.61529082,98.91680514,105.7483408,108.9690192,109.4220075,108.3759089,110.7835813,107.2210349,102.2991447,106.5998828,104.4268105
"Bahamas, The",BHS,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,101.1186361,106.2611908,109.1686485,112.4335274,115.6578046,118.1222598,114.2823226,111.9065335,110.6912598,112.7965362,109.3811068,112.7677205,115.6384384,118.1618959,113.5433202,106.8982754,107.227121,111.7165515,118.057342,115.2102041,117.1053126,120.4938476,119.0912778,113.0385047,105.9762603,102.0529113,101.0696997,99.41752637,98.40564768,101.0854534,100,99.33985258,99.2657965,98.70423484,99.02991742,102.259579,101.2822598,100.862135,100.4780255,102.0968631,101.4654837,99.77812993,99.10201999,98.6391767
Bosnia and Herzegovina,BIH,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
