country_num,Country Name,Country Code,mig_stock
203,United Kingdom,GBR,4812435
204,United States,USA,3031478
205,Uruguay,URY,351041
206,Uzbekistan,UZB,2071103
207,Vanuatu,VUT,9041
208,"Venezuela, RB",VEN,771986
209,Vietnam,VNM,2694269
210,Virgin Islands (U.S.),VIR,4103
211,West Bank and Gaza,PSE,3857805
212,"Yemen, Rep.",YEM,1221130
213,Zambia,ZMB,278334
214,Zimbabwe,ZWE,738195
